Date,Geopolitical Threats,Nuclear Threats,War Threats,Terrorist Threats,War Acts,Terrorist Acts
Jan-85,15,60,22,2,5,8
Feb-85,18,67,43,6,5,8
Mar-85,16,64,36,9,26,5
Apr-85,24,42,26,15,17,8
May-85,39,53,28,8,7,16
Jun-85,30,33,55,13,7,59
Jul-85,14,37,29,10,5,44
Aug-85,9,42,22,5,12,12
Sep-85,16,52,21,4,6,7
Oct-85,38,65,32,7,33,46
Nov-85,26,80,15,1,3,17
Dec-85,19,42,16,3,12,24
Jan-86,23,38,64,16,16,34
Feb-86,6,23,21,2,6,11
Mar-86,21,24,55,8,10,19
Apr-86,47,27,112,50,81,105
May-86,34,41,37,31,21,44
Jun-86,15,34,14,8,9,18
Jul-86,14,20,13,7,1,17
Aug-86,14,34,22,11,20,12
Sep-86,26,30,36,11,10,31
Oct-86,17,64,26,14,7,24
Nov-86,32,36,19,6,8,29
Dec-86,25,27,22,6,9,12
Jan-87,25,28,32,10,21,17
Feb-87,28,31,42,10,9,9
Mar-87,39,58,35,5,6,9
Apr-87,21,79,18,4,8,12
May-87,34,58,44,3,12,13
Jun-87,31,61,51,5,14,13
Jul-87,44,36,29,9,4,10
Aug-87,76,44,39,3,9,8
Sep-87,34,78,42,5,7,7
Oct-87,18,55,58,3,10,9
Nov-87,19,61,23,3,12,22
Dec-87,32,84,31,6,8,16
Jan-88,22,65,27,2,12,14
Feb-88,24,44,25,1,10,13
Mar-88,23,38,37,2,22,22
Apr-88,30,29,56,4,3,18
May-88,18,35,31,3,8,18
Jun-88,13,35,22,7,7,22
Jul-88,29,26,45,4,14,19
Aug-88,22,33,27,5,7,14
Sep-88,16,29,16,9,5,13
Oct-88,27,22,36,3,2,5
Nov-88,18,23,21,1,4,21
Dec-88,35,26,28,19,3,45
Jan-89,44,48,60,13,15,21
Feb-89,39,43,26,28,10,16
Mar-89,48,23,28,26,15,28
Apr-89,44,63,24,21,2,9
May-89,51,154,69,14,0,6
Jun-89,25,49,33,1,4,4
Jul-89,25,28,32,12,2,17
Aug-89,32,18,92,12,12,26
Sep-89,28,37,33,12,10,14
Oct-89,34,23,63,5,2,12
Nov-89,62,29,62,3,6,9
Dec-89,75,37,136,17,7,13
Jan-90,56,25,94,7,4,9
Feb-90,47,38,81,3,2,14
Mar-90,47,31,70,15,5,7
Apr-90,55,47,60,16,9,11
May-90,65,56,76,17,5,12
Jun-90,59,25,56,11,0,20
Jul-90,54,31,99,7,2,14
Aug-90,164,26,409,7,33,10
Sep-90,110,16,279,22,14,14
Oct-90,145,19,180,20,15,14
Nov-90,172,16,351,10,19,21
Dec-90,99,27,346,2,16,8
Jan-91,119,27,678,103,132,60
Feb-91,58,5,129,67,141,22
Mar-91,52,12,78,28,57,17
Apr-91,39,2,50,6,10,6
May-91,32,15,55,12,12,14
Jun-91,37,20,39,2,12,10
Jul-91,44,30,105,5,16,7
Aug-91,50,38,54,15,8,6
Sep-91,53,52,96,3,6,2
Oct-91,34,47,50,3,8,5
Nov-91,30,19,52,4,12,13
Dec-91,50,33,48,7,8,8
Jan-92,42,51,53,8,6,11
Feb-92,36,24,56,4,9,15
Mar-92,30,15,64,1,19,7
Apr-92,34,22,35,9,13,4
May-92,23,30,57,13,13,11
Jun-92,47,34,82,3,6,8
Jul-92,34,11,124,6,28,11
Aug-92,20,41,96,1,23,20
Sep-92,28,20,47,6,18,5
Oct-92,22,39,57,2,7,2
Nov-92,30,18,44,9,9,14
Dec-92,27,15,127,10,4,8
Jan-93,42,28,191,3,92,3
Feb-93,26,11,60,9,19,16
Mar-93,28,30,50,11,9,50
Apr-93,22,23,109,6,27,15
May-93,26,18,143,14,23,11
Jun-93,27,27,83,25,31,27
Jul-93,27,24,88,25,41,29
Aug-93,22,9,78,14,50,28
Sep-93,26,29,54,10,13,16
Oct-93,34,27,62,8,22,15
Nov-93,26,35,54,17,12,8
Dec-93,23,21,41,10,9,15
Jan-94,29,37,61,15,34,11
Feb-94,38,20,80,3,66,13
Mar-94,26,17,48,14,25,12
Apr-94,23,19,94,7,62,7
May-94,10,16,73,10,23,12
Jun-94,38,21,89,8,19,7
Jul-94,31,12,84,11,13,18
Aug-94,27,18,48,13,36,11
Sep-94,22,36,106,6,25,5
Oct-94,36,17,114,10,30,20
Nov-94,30,6,53,17,40,15
Dec-94,36,15,91,4,14,15
Jan-95,17,17,51,10,14,18
Feb-95,22,12,41,17,10,18
Mar-95,22,9,45,9,18,19
Apr-95,16,17,31,39,11,69
May-95,35,16,47,15,39,33
Jun-95,26,12,48,14,44,34
Jul-95,15,15,94,7,29,15
Aug-95,22,18,74,14,20,31
Sep-95,19,13,47,10,20,12
Oct-95,29,13,38,19,22,35
Nov-95,21,9,44,9,18,17
Dec-95,23,6,43,7,15,11
Jan-96,23,21,47,31,21,17
Feb-96,30,19,54,22,11,13
Mar-96,54,18,76,30,16,30
Apr-96,38,13,60,19,23,21
May-96,17,20,37,14,14,7
Jun-96,29,16,29,13,5,30
Jul-96,17,13,30,72,10,62
Aug-96,26,15,35,30,21,32
Sep-96,59,5,111,18,17,20
Oct-96,33,15,47,13,10,9
Nov-96,34,28,53,13,3,13
Dec-96,41,13,44,10,8,16
Jan-97,20,14,26,2,9,18
Feb-97,37,7,36,10,7,11
Mar-97,47,22,40,14,6,19
Apr-97,25,10,33,26,4,18
May-97,29,22,30,14,13,16
Jun-97,28,9,29,17,7,13
Jul-97,32,12,33,16,11,8
Aug-97,33,7,25,14,10,28
Sep-97,29,14,21,9,10,15
Oct-97,26,15,33,6,8,18
Nov-97,36,16,166,13,14,19
Dec-97,31,24,44,11,6,14
Jan-98,57,10,111,15,10,11
Feb-98,46,16,434,15,46,14
Mar-98,30,13,94,14,9,14
Apr-98,33,22,36,20,7,16
May-98,71,91,61,19,13,21
Jun-98,46,49,83,15,6,8
Jul-98,40,28,46,9,6,6
Aug-98,40,18,121,42,18,59
Sep-98,52,29,85,36,12,25
Oct-98,30,14,153,17,37,33
Nov-98,49,17,208,13,9,23
Dec-98,40,17,196,25,24,14
Jan-99,34,24,74,17,8,18
Feb-99,34,27,69,12,10,11
Mar-99,47,21,137,15,20,21
Apr-99,30,42,115,12,28,17
May-99,33,21,65,20,35,13
Jun-99,33,13,49,10,27,14
Jul-99,48,16,63,25,14,17
Aug-99,40,19,54,22,15,11
Sep-99,38,20,53,40,10,58
Oct-99,31,32,46,27,13,20
Nov-99,37,19,28,26,8,21
Dec-99,35,20,37,73,15,43
Jan-00,23,21,32,40,11,24
Feb-00,28,16,35,21,9,22
Mar-00,61,28,72,25,10,28
Apr-00,25,28,36,27,13,10
May-00,32,23,28,25,10,14
Jun-00,40,31,38,36,11,16
Jul-00,33,25,20,24,8,16
Aug-00,17,29,20,12,5,30
Sep-00,36,15,47,18,11,10
Oct-00,89,16,68,31,7,29
Nov-00,26,18,29,23,5,15
Dec-00,35,18,32,17,2,12
Jan-01,37,29,31,27,11,12
Feb-01,49,31,58,21,18,26
Mar-01,37,21,54,29,2,28
Apr-01,67,16,52,14,11,13
May-01,45,38,28,15,5,17
Jun-01,48,35,51,26,11,16
Jul-01,37,36,18,18,8,16
Aug-01,33,22,20,20,9,26
Sep-01,132,45,511,263,24,253
Oct-01,148,29,558,441,39,310
Nov-01,81,25,188,261,48,193
Dec-01,81,34,152,173,35,144
Jan-02,87,31,141,113,20,96
Feb-02,82,10,131,129,17,55
Mar-02,62,35,251,112,35,53
Apr-02,93,16,178,102,8,82
May-02,98,87,182,211,23,84
Jun-02,135,106,185,217,14,67
Jul-02,63,21,128,124,35,61
Aug-02,69,11,320,70,20,31
Sep-02,156,23,817,218,14,69
Oct-02,120,35,693,161,15,114
Nov-02,111,16,475,215,16,71
Dec-02,186,28,407,146,9,51
Jan-03,263,49,802,177,12,43
Feb-03,311,36,1271,320,16,57
Mar-03,385,28,1373,254,250,60
Apr-03,223,12,322,157,293,26
May-03,115,23,122,216,58,61
Jun-03,73,9,143,107,32,44
Jul-03,64,7,110,90,40,25
Aug-03,55,13,91,136,25,46
Sep-03,58,5,128,142,17,48
Oct-03,62,14,85,98,47,32
Nov-03,72,6,57,113,26,36
Dec-03,78,14,95,190,31,49
Jan-04,54,18,88,153,32,28
Feb-04,43,20,88,115,19,32
Mar-04,92,12,103,271,34,55
Apr-04,79,11,129,310,45,54
May-04,116,6,78,155,42,29
Jun-04,106,24,70,134,31,39
Jul-04,72,11,87,214,32,23
Aug-04,75,12,81,300,23,59
Sep-04,65,16,102,176,40,74
Oct-04,50,13,89,150,47,34
Nov-04,72,9,72,118,29,18
Dec-04,62,9,71,88,24,23
Jan-05,60,9,59,81,26,21
Feb-05,70,7,71,84,18,26
Mar-05,51,13,64,70,16,47
Apr-05,59,23,53,70,10,26
May-05,46,16,55,48,15,24
Jun-05,56,7,36,59,30,19
Jul-05,60,18,57,247,32,90
Aug-05,51,3,38,126,17,44
Sep-05,29,12,44,95,26,51
Oct-05,49,17,52,107,22,44
Nov-05,37,14,49,94,16,35
Dec-05,55,4,34,88,24,22
Jan-06,72,19,66,65,32,16
Feb-06,78,9,71,89,10,19
Mar-06,69,10,82,74,17,20
Apr-06,100,10,92,50,18,30
May-06,74,10,86,68,28,27
Jun-06,61,23,72,93,67,26
Jul-06,191,13,124,77,86,36
Aug-06,104,13,108,282,73,69
Sep-06,95,12,58,173,22,30
Oct-06,102,44,90,76,22,22
Nov-06,61,12,61,95,26,21
Dec-06,75,21,64,63,14,15
Jan-07,81,10,75,81,50,17
Feb-07,58,25,78,75,27,35
Mar-07,79,23,57,57,23,23
Apr-07,84,14,46,48,22,28
May-07,85,16,70,81,50,33
Jun-07,68,38,57,67,28,17
Jul-07,68,18,81,182,30,37
Aug-07,47,7,60,65,28,21
Sep-07,41,5,58,60,28,13
Oct-07,121,27,175,55,31,10
Nov-07,110,12,79,64,23,24
Dec-07,87,14,89,53,26,19
Jan-08,80,13,55,57,20,18
Feb-08,75,19,46,62,28,19
Mar-08,86,17,68,40,26,16
Apr-08,56,19,46,35,24,10
May-08,65,10,49,29,16,12
Jun-08,62,7,80,54,24,15
Jul-08,67,8,69,57,27,20
Aug-08,139,14,107,37,24,18
Sep-08,75,15,81,39,13,9
Oct-08,57,14,43,57,12,16
Nov-08,46,17,44,47,25,11
Dec-08,47,15,80,69,15,11
Jan-09,70,14,69,45,57,9
Feb-09,40,17,49,26,10,12
Mar-09,45,8,39,85,12,18
Apr-09,43,31,80,52,11,14
May-09,43,25,77,40,21,12
Jun-09,42,6,46,21,5,23
Jul-09,55,16,59,61,17,13
Aug-09,48,9,43,37,24,20
Sep-09,41,19,57,51,43,10
Oct-09,46,9,60,49,32,29
Nov-09,50,9,58,30,32,21
Dec-09,43,7,93,84,37,22
Jan-10,35,3,95,158,31,40
Feb-10,48,7,53,66,29,15
Mar-10,66,16,37,37,6,18
Apr-10,34,43,67,43,17,5
May-10,61,22,84,54,13,23
Jun-10,71,7,59,40,12,16
Jul-10,57,18,42,70,27,10
Aug-10,41,12,32,44,6,20
Sep-10,64,17,35,100,15,15
Oct-10,89,5,39,112,18,6
Nov-10,73,12,89,97,15,18
Dec-10,71,31,53,65,17,25
Jan-11,63,12,40,52,8,27
Feb-11,107,13,51,54,8,14
Mar-11,142,9,266,27,27,14
Apr-11,78,3,79,31,17,18
May-11,82,7,66,83,30,12
Jun-11,49,4,85,43,25,6
Jul-11,40,4,46,50,4,15
Aug-11,43,9,29,14,38,13
Sep-11,57,11,46,68,10,17
Oct-11,62,11,60,34,10,6
Nov-11,54,16,103,34,23,9
Dec-11,68,5,44,24,19,7
Jan-12,103,9,72,22,8,12
Feb-12,83,18,103,34,19,9
Mar-12,101,14,113,43,12,23
Apr-12,75,9,62,36,13,15
May-12,67,11,56,42,24,22
Jun-12,50,12,39,30,8,11
Jul-12,66,6,68,26,10,16
Aug-12,56,17,56,22,18,7
Sep-12,97,8,101,7,9,9
Oct-12,83,16,75,36,16,28
Nov-12,73,7,82,21,40,8
Dec-12,74,20,69,33,9,8
Jan-13,99,19,147,71,15,30
Feb-13,60,15,138,60,20,12
Mar-13,139,49,132,44,10,7
Apr-13,118,66,110,65,22,53
May-13,84,24,52,69,15,37
Jun-13,91,16,48,83,6,18
Jul-13,59,19,34,38,6,10
Aug-13,72,18,176,95,18,17
Sep-13,77,8,359,43,14,10
Oct-13,68,14,89,47,5,24
Nov-13,82,17,81,33,12,8
Dec-13,87,11,63,42,10,16
Jan-14,72,19,46,61,14,14
Feb-14,85,7,47,45,5,13
Mar-14,364,20,187,13,8,16
Apr-14,168,16,104,33,6,18
May-14,153,9,87,40,19,21
Jun-14,148,4,144,53,21,28
Jul-14,246,15,122,65,43,41
Aug-14,341,12,208,68,64,20
Sep-14,262,19,331,157,16,32
Oct-14,219,6,114,111,38,46
Nov-14,135,11,80,104,23,10
Dec-14,125,6,59,61,11,26
Jan-15,166,17,77,134,16,49
Feb-15,103,20,101,90,18,39
Mar-15,112,14,111,59,14,26
Apr-15,133,19,95,31,13,49
May-15,112,29,75,30,12,16
Jun-15,136,15,43,55,4,14
Jul-15,116,15,94,59,19,29
Aug-15,93,17,100,16,20,14
Sep-15,85,12,90,28,16,12
Oct-15,100,9,73,31,22,16
Nov-15,138,23,202,275,31,67
Dec-15,76,8,157,228,13,39
Jan-16,190,28,65,111,12,33
Feb-16,115,9,51,63,14,19
Mar-16,84,10,39,147,23,25
Apr-16,112,16,48,65,11,21
May-16,94,28,38,69,10,27
Jun-16,119,8,45,149,5,34
Jul-16,114,22,89,124,18,24
Aug-16,95,26,44,96,16,34
Sep-16,88,30,42,72,19,28
Oct-16,87,25,59,48,26,8
Nov-16,151,47,37,40,5,20
Dec-16,138,19,31,103,18,20
Jan-17,140,28,57,72,20,34
Feb-17,134,29,65,73,16,23
Mar-17,113,39,76,98,21,48
Apr-17,240,72,137,51,27,17
May-17,160,30,70,161,11,69
Jun-17,124,18,58,106,17,42
Jul-17,106,28,59,47,14,18
Aug-17,216,120,151,79,15,41
Sep-17,160,81,111,60,10,21
Oct-17,251,87,81,66,6,21
Nov-17,200,89,88,25,15,13
Dec-17,166,52,56,54,11,15
Jan-18,252,108,105,54,10,25
Feb-18,141,48,51,26,12,15
Mar-18,350,56,220,36,19,30
Apr-18,435,35,222,22,43,13
May-18,377,49,116,41,3,16
Jun-18,462,45,96,37,12,26
Jul-18,529,25,150,24,24,19
Aug-18,381,15,73,20,13,15
Sep-18,274,23,59,47,9,8
Oct-18,397,48,86,12,5,17
Nov-18,343,25,62,36,14,6
Dec-18,340,29,63,40,6,16
Jan-19,436,20,79,18,9,13
Feb-19,277,42,84,30,12,14
Mar-19,254,15,36,33,10,19
Apr-19,229,6,41,28,8,10
May-19,476,17,129,25,5,7
Jun-19,541,14,139,11,10,10
Jul-19,432,17,62,23,10,15
Aug-19,562,39,109,43,13,26
Sep-19,411,13,91,39,6,16
Oct-19,406,7,99,48,5,11
Nov-19,109,11,31,12,5,18